=======================================================;;;;;;;;;;;;;;;;;;;;
mozjpeg;./result/res_jpegMOZ_6.jpg;3002845;302749;366;73;90;81;0.98639532;44.14458633;2.503927373;1.582380287;0.990924648;0.517319668;0.411343509;nan;0.015751372;0.782443025;41.06683218;0.8416426;69.35990673
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/people_nature_1_ver.png;PNG;1920x2400;1920x2400+0+0;8-bit;sRGB;5.06879MiB;0.000u;0:00.003;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_7.avif;5315012;292027;1905;1037;95;28;0.945825613;37.4626584;11.663114;3.415130159;0.998865603;0.620678216;0.458406847;201.3456266;0.021409773;0.497694083;35.98234507;0.741774031;70.89612186
JPEG XL;./result/res_jxl_7.jxl;5315012;621611;1101;1487;88;91;0.983788604;41.97097502;4.130311994;2.032316903;0.999520608;0.374047382;0.721731999;113.8522424;0.012307818;0.734791974;38.34808238;0.865147767;73.64290215
libjpeg Image Magick;./result/res_jpeg_7.jpg;5315012;748074;227;1517;86;85;0.985650619;42.17994152;3.936282046;1.984006564;0.999599137;0.361599419;0.765944137;112.7992016;0.012304228;0.770449037;39.14865269;0.87649177;73.40781352
WebP;./result/res_webp_7.webp;5315012;383056;1791;397;93;78;0.938377785;36.63621833;14.1077751;3.756031829;0.998650202;0.68218124;0.424686477;222.7956044;0.023571572;0.469918191;35.69330477;0.743434027;70.45391701
FLIF;./result/res_flif_7.flif;5315012;337840;14910;2216;94;3;0.921834133;35.96444516;16.4678099;4.05805494;0.998578519;0.735041062;0.320649562;234.689901;0.025540965;0.432050608;35.65011762;0.705180481;70.07049139
BPG;./result/res_bpg_7.bpg;5315012;1062312;891;1475;80;1;0.965591811;40.61959441;5.637946108;2.374435956;0.999503264;0.430285329;0.512693699;144.5787401;0.014965648;0.615566712;40.40674349;0.815333824;72.39611767
JPEG jpeglib-turbo;./result/res_jpeg_turbo_7.jpg;5315012;762053;94;88;86;85;0.986071152;42.28096567;3.845774306;1.961064585;0.999610942;0.357381341;0.769278888;111.0764106;0.012159885;0.774368766;39.22189911;0.877731292;73.46086464
guetzli;./result/res_jpegGUETZLI_7.jpg;5315012;625574;160278;1352;88;87;0.960665764;38.24413832;9.742412833;3.121283844;0.999159371;0.567800935;0.632081839;172.5096484;0.019592311;0.55915714;36.28190502;0.782124618;71.27731266
mozjpeg;./result/res_jpegMOZ_7.jpg;5315012;546468;515;102;90;81;0.949326423;37.35191623;11.96433977;3.458950675;0.999019838;0.627504559;0.531486958;191.7819961;0.021801396;0.53818368;36.0032286;0.794644285;70.76782329
